,Event Name,Event ID,Event Venue,Country Code,Time Zone,Open Date,Market Count
0,UEFA Euro 2024,31820293,,,GMT,2024-06-14 17:00:00,4
1,Spain v England,33406040,,,GMT,2024-07-14 19:00:00,65
