,Event Name,Event ID,Event Venue,Country Code,Time Zone,Open Date,Market Count
0,UEFA Euro 2024,31820293,,,GMT,2024-06-14 17:00:00,6
1,Spain v France,33397021,,,GMT,2024-07-09 19:00:00,66
2,Netherlands v England,33399048,,,GMT,2024-07-10 19:00:00,66
