Spain,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10
England,,,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,0,1,2,3,4,5,0,1,2,3,4,0,1,2,3,0,1,2,3,0,1,2,3,0
Market,Selection,Bet Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Correct Score,'1-1',Back,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,13.038645975,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781,-2.7449781
Correct Score 2 Home,Any unquoted,Back,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,-96.315022,-96.315022,-96.315022,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,-96.315022,-96.315022,-96.315022,2.744978127000002,2.744978127000002,2.744978127000002,-96.315022,-96.315022,-96.315022,2.744978127000002,2.744978127000002,-96.315022,-96.315022,-96.315022,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002,2.744978127000002
Total,,,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,15.783624102000001,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,-99.0600001,-99.0600001,-99.0600001,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,-99.0600001,-99.0600001,-99.0600001,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,-99.0600001,-99.0600001,-99.0600001,2.7000002233990017e-08,2.7000002233990017e-08,-99.0600001,-99.0600001,-99.0600001,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08,2.7000002233990017e-08
