Market,Selection,Bet Type,Max Size,Min Size
Asian Handicap,Hearts -0.5,Back,16.41,0.0
Asian Handicap,Tottenham +0.5,Back,6245.01,0.0
Asian Handicap,Hearts 0 & -0.5,Back,12.79,0.0
Asian Handicap,Tottenham 0 & +0.5,Back,6265.3,0.0
Asian Handicap,Hearts 0,Back,18.58,0.0
Asian Handicap,Tottenham 0,Back,165.12,0.0
Asian Handicap,Hearts 0 & +0.5,Back,18.47,0.0
Asian Handicap,Tottenham 0 & -0.5,Back,59.89,0.0
Asian Handicap,Hearts +0.5,Back,29.79,0.0
Asian Handicap,Tottenham -0.5,Back,30.48,0.0
Asian Handicap,Hearts +0.5 & +1.0,Back,27.64,0.0
Asian Handicap,Tottenham -0.5 & -1.0,Back,32.25,0.0
Asian Handicap,Hearts +1.0,Back,13.81,0.0
Asian Handicap,Tottenham -1.0,Back,34.82,0.0
Asian Handicap,Hearts +1.0 & +1.5,Back,16.13,0.0
Asian Handicap,Tottenham -1.0 & -1.5,Back,38.5,0.0
Asian Handicap,Hearts +1.5,Back,36.49,0.0
Asian Handicap,Tottenham -1.5,Back,10.75,0.0
Asian Handicap,Hearts +1.5 & +2.0,Back,17.59,0.0
Asian Handicap,Tottenham -1.5 & -2.0,Back,21.85,0.0
Asian Handicap,Hearts +2.0,Back,13.29,0.0
Asian Handicap,Tottenham -2.0,Back,13.48,0.0
Asian Handicap,Hearts +2.0 & +2.5,Back,14.84,0.0
Asian Handicap,Tottenham -2.0 & -2.5,Back,22.31,0.0
Asian Handicap,Hearts +2.5,Back,14.18,0.0
Asian Handicap,Tottenham -2.5,Back,10.72,0.0
Asian Handicap,Hearts +2.5 & +3.0,Back,16.1,0.0
Asian Handicap,Tottenham -2.5 & -3.0,Back,14.02,0.0
Asian Handicap,Hearts +3.0,Back,1006.86,0.0
Asian Handicap,Tottenham -3.0,Back,13.08,0.0
Asian Handicap,Hearts +3.0 & +3.5,Back,665.82,0.0
Asian Handicap,Tottenham -3.0 & -3.5,Back,13.05,0.0
Asian Handicap,Hearts +3.5,Back,329.69,0.0
Asian Handicap,Tottenham -3.5,Back,12.96,0.0
Asian Handicap,Hearts +3.5 & +4.0,Back,521.71,0.0
Asian Handicap,Tottenham -3.5 & -4.0,Back,11.35,0.0
Asian Handicap,Hearts +4.0,Back,1.01,0.0
Asian Handicap,Tottenham -4.0,Back,11.35,0.0
Asian Handicap,Hearts -4.0,Lay,1008.99,0.0
Asian Handicap,Tottenham +4.0,Lay,7.64,0.0
Asian Handicap,Hearts -3.5 & -4.0,Lay,1008.99,0.0
Asian Handicap,Tottenham +3.5 & +4.0,Lay,7.64,0.0
Asian Handicap,Hearts -3.5,Lay,1008.99,0.0
Asian Handicap,Tottenham +3.5,Lay,7.64,0.0
Asian Handicap,Hearts -3.0 & -3.5,Lay,1008.99,0.0
Asian Handicap,Tottenham +3.0 & +3.5,Lay,7.64,0.0
Asian Handicap,Hearts -3.0,Lay,1008.99,0.0
Asian Handicap,Tottenham +3.0,Lay,7.64,0.0
Asian Handicap,Hearts -2.5 & -3.0,Lay,1008.99,0.0
Asian Handicap,Tottenham +2.5 & +3.0,Lay,7.64,0.0
Asian Handicap,Hearts -2.5,Lay,1008.99,0.0
Asian Handicap,Tottenham +2.5,Lay,7.64,0.0
Asian Handicap,Hearts -2.0 & -2.5,Lay,1008.99,0.0
Asian Handicap,Tottenham +2.0 & +2.5,Lay,7.64,0.0
Asian Handicap,Hearts -2.0,Lay,1008.99,0.0
Asian Handicap,Tottenham +2.0,Lay,7.64,0.0
Asian Handicap,Hearts -1.5 & -2.0,Lay,1008.99,0.0
Asian Handicap,Tottenham +1.5 & +2.0,Lay,7.64,0.0
Asian Handicap,Hearts -1.5,Lay,1723.04,0.0
Asian Handicap,Tottenham +1.5,Lay,12.39,0.0
Asian Handicap,Hearts -1.0 & -1.5,Lay,1727.67,0.0
Asian Handicap,Tottenham +1.0 & +1.5,Lay,7.64,0.0
Asian Handicap,Hearts -1.0,Lay,1722.32,0.0
Asian Handicap,Tottenham +1.0,Lay,7.64,0.0
Asian Handicap,Hearts -0.5 & -1.0,Lay,1070.58,0.0
Asian Handicap,Tottenham +0.5 & +1.0,Lay,31.99,0.0
Asian Handicap,Hearts -0.5,Lay,1234.82,0.0
Asian Handicap,Tottenham +0.5,Lay,35.55,0.0
Asian Handicap,Hearts 0 & -0.5,Lay,1244.12,0.0
Asian Handicap,Tottenham 0 & +0.5,Lay,31.78,0.0
Asian Handicap,Hearts 0,Lay,547.46,0.0
Asian Handicap,Tottenham 0,Lay,20.56,0.0
Asian Handicap,Hearts 0 & +0.5,Lay,187.63,0.0
Asian Handicap,Tottenham 0 & -0.5,Lay,18.69,0.0
Asian Handicap,Hearts +0.5,Lay,105.92,0.0
Asian Handicap,Tottenham -0.5,Lay,98.24,0.0
Asian Handicap,Hearts +0.5 & +1.0,Lay,111.26,0.0
Asian Handicap,Tottenham -0.5 & -1.0,Lay,83.04,0.0
Asian Handicap,Hearts +1.0,Lay,90.95,0.0
Asian Handicap,Tottenham -1.0,Lay,59.09,0.0
Asian Handicap,Hearts +1.0 & +1.5,Lay,38.56,0.0
Asian Handicap,Tottenham -1.0 & -1.5,Lay,7.05,0.0
Asian Handicap,Hearts +1.5,Lay,21.61,0.0
Asian Handicap,Tottenham -1.5,Lay,44.57,0.0
Asian Handicap,Hearts +1.5 & +2.0,Lay,21.86,0.0
Asian Handicap,Tottenham -1.5 & -2.0,Lay,26.7,0.0
Asian Handicap,Hearts +2.0,Lay,13.45,0.0
Asian Handicap,Tottenham -2.0,Lay,77.85,0.0
