Market ID,Market Name,Selection Name,Selection ID,Handicap,Best Back Price,Best Back Size,Best Lay Price,Best Lay Size,Last Price Traded,Total Matched,Status,Removal Date,Adjustment Factor
1.230788286,Goal Lines,Under 2.5 & 3.0,7044483,3.0,1.3,215.0,1.52,75.55,,0.0,ACTIVE,,
1.230788286,Goal Lines,Over 2.5 & 3.0,7044482,3.0,2.93,27.62,4.34,64.4,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 3.0,7044483,3.25,1.3,215.0,1.41,232.14,,0.0,ACTIVE,,
1.230788286,Goal Lines,Over 3.0,7044482,3.25,3.46,78.43,4.34,64.4,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 3.0 & 3.5,7044483,3.5,1.3,215.0,1.34,984.08,,0.0,ACTIVE,,
1.230788286,Goal Lines,Over 3.0 & 3.5,7044482,3.5,4.0,70.03,4.34,64.4,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 3.5,7044483,3.75,1.09,550.14,1.23,356.84,,0.0,ACTIVE,,
1.230788286,Goal Lines,Over 3.5,7044482,3.75,5.4,81.28,12.0,15.0,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 3.5 & 4.0,7044483,4.0,1.09,550.14,1.13,177.43,,0.0,ACTIVE,,
1.230788286,Goal Lines,Over 3.5 & 4.0,7044482,4.0,9.25,21.67,12.0,15.0,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 4.0,7044483,4.25,1.09,550.14,1.11,169.47,,0.0,ACTIVE,,
1.230788286,Goal Lines,Over 4.0,7044482,4.25,10.12,18.59,12.0,15.0,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 4.0 & 4.5,7044483,4.5,1.09,550.14,1.1,162.56,,0.0,ACTIVE,,
1.230788286,Goal Lines,Over 4.0 & 4.5,7044482,4.5,11.0,16.26,12.0,15.0,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 4.5,7044483,4.75,1.02,602.26,1.07,314.9,,0.0,ACTIVE,,
1.230788286,Goal Lines,Over 4.5,7044482,4.75,16.31,16.35,51.0,12.08,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 4.5 & 5.0,7044483,5.0,1.02,602.26,1.04,1888.9,1.1,0.0,ACTIVE,,
1.230788286,Goal Lines,Over 4.5 & 5.0,7044482,5.0,28.27,27.48,51.0,12.08,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 5.0,7044483,5.25,1.02,602.26,1.03,123.31,1.1,0.0,ACTIVE,,
1.230788286,Goal Lines,Over 5.0,7044482,5.25,29.13,26.17,51.0,12.08,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 5.0 & 5.5,7044483,5.5,1.02,602.26,1.03,306.77,1.09,0.0,ACTIVE,,
1.230788286,Goal Lines,Over 5.0 & 5.5,7044482,5.5,30.0,24.98,51.0,12.08,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 5.5,7044483,5.75,1.01,1.01,1.02,499.07,1.07,0.0,ACTIVE,,
1.230788286,Goal Lines,Over 5.5,7044482,5.75,50.75,11.85,1000.0,1.01,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 5.5 & 6.0,7044483,6.0,1.01,1.01,1.01,249.54,1.05,0.0,ACTIVE,,
1.230788286,Goal Lines,Over 5.5 & 6.0,7044482,6.0,88.5,14.41,1000.0,1.01,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 6.0,7044483,6.25,1.01,1.01,1.01,248.37,1.05,0.0,ACTIVE,,
1.230788286,Goal Lines,Over 6.0,7044482,6.25,89.25,14.21,1000.0,1.01,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 6.0 & 6.5,7044483,6.5,1.01,1.01,1.01,518.62,1.04,0.0,ACTIVE,,
1.230788286,Goal Lines,Over 6.0 & 6.5,7044482,6.5,90.0,14.01,1000.0,1.01,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 6.5,7044483,6.75,1.01,1.01,1.01,1841.63,,0.0,ACTIVE,,
1.230788286,Goal Lines,Over 6.5,7044482,6.75,133.0,13.17,1000.0,1.01,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 6.5 & 7.0,7044483,7.0,1.01,1.01,1.01,1161.29,,0.0,ACTIVE,,
1.230788286,Goal Lines,Over 6.5 & 7.0,7044482,7.0,110.0,6.77,1000.0,1.01,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 7.0,7044483,7.25,1.01,1.01,1.01,1161.29,,0.0,ACTIVE,,
1.230788286,Goal Lines,Over 7.0,7044482,7.25,110.0,6.77,1000.0,1.01,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 7.0 & 7.5,7044483,7.5,1.01,1.01,1.01,1969.17,,0.0,ACTIVE,,
1.230788286,Goal Lines,Over 7.0 & 7.5,7044482,7.5,101.0,14.85,1000.0,1.01,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 7.5,7044483,7.75,1.01,1.01,1.01,1161.29,,0.0,ACTIVE,,
1.230788286,Goal Lines,Over 7.5,7044482,7.75,110.0,6.77,1000.0,1.01,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 7.5 & 8.0,7044483,8.0,1.01,1.01,1.01,1161.29,,0.0,ACTIVE,,
