,Event Name,Event ID,Event Venue,Country Code,Time Zone,Open Date,Market Count
0,UEFA Euro 2024,31820293,,,GMT,2024-06-14 17:00:00,7
1,Daily Goals,33391038,,,Europe/London,2024-07-05 16:00:00,1
2,Spain v Germany,33385623,,,GMT,2024-07-05 16:00:00,66
3,Portugal v France,33387650,,,GMT,2024-07-05 19:00:00,66
