,Market ID,Market Name,Selection ID,Handicap,Best Back Price,Best Back Size,Best Lay Price,Best Lay Size,Last Price Traded,Total Matched,Status,Removal Date,Adjustment Factor
5,1.230303085,Match Odds and Over/Under 3.5 Goals,11233442,0.0,13.0,147.51,15.0,118.62,,0.0,ACTIVE,,
0,1.230303086,Spain Over/Under 1.5 Goals,1221385,0.0,1.56,3189.73,1.58,16.3,1.59,0.0,ACTIVE,,
1,1.230303086,Spain Over/Under 1.5 Goals,1221386,0.0,2.7,19.71,2.78,266.74,,0.0,ACTIVE,,
0,1.230303087,Germany Over/Under 1.5 Goals,1221385,0.0,1.55,16.79,1.58,34.18,1.58,0.0,ACTIVE,,
1,1.230303087,Germany Over/Under 1.5 Goals,1221386,0.0,2.72,707.54,2.84,219.44,,0.0,ACTIVE,,
0,1.230303088,Germany Over/Under 2.5 Goals,47972,0.0,1.14,1393.96,1.17,246.58,,0.0,ACTIVE,,
1,1.230303088,Germany Over/Under 2.5 Goals,47973,0.0,7.2,40.07,8.2,193.79,,0.0,ACTIVE,,
0,1.230303089,Spain Over/Under 0.5 Goals,5851482,0.0,3.55,200.39,3.8,1117.98,3.7,0.0,ACTIVE,,
1,1.230303089,Spain Over/Under 0.5 Goals,5851483,0.0,1.36,2654.49,1.39,262.04,,0.0,ACTIVE,,
0,1.230303090,Germany Over/Under 0.5 Goals,5851482,0.0,3.5,20.49,3.65,513.18,3.6,0.0,ACTIVE,,
1,1.230303090,Germany Over/Under 0.5 Goals,5851483,0.0,1.38,1336.14,1.4,51.22,,0.0,ACTIVE,,
