,Event Name,Event ID,Event Venue,Country Code,Time Zone,Open Date,Market Count
0,UEFA Euro 2024,31820293,,,GMT,2024-06-14 17:00:00,8
1,Romania v Netherlands,33376575,,,GMT,2024-07-02 16:00:00,66
2,Daily Goals,33380943,,,Europe/London,2024-07-02 16:00:00,1
3,Daily Goals,33380904,,,Europe/London,2024-07-01 16:00:00,1
4,Portugal v Slovenia,33376570,,,GMT,2024-07-01 19:00:00,66
5,France v Belgium,33376277,,,GMT,2024-07-01 16:00:00,66
6,Austria v Turkey,33376579,,,GMT,2024-07-02 19:00:00,66
